item_id,task_type,perturbation_type,n_original_outputs,n_perturbed_outputs,original_performance,perturbed_performance,absolute_performance_change,pdr,performance_dropped
factual_qa_3373,factual_qa,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false
factual_qa_3373,factual_qa,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false
factual_qa_3373,factual_qa,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false
factual_qa_3373,factual_qa,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false
factual_qa_4029,factual_qa,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false
factual_qa_4029,factual_qa,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false
factual_qa_4029,factual_qa,paraphrasing,5,5,1.000000,0.820000,0.180000,0.180000,true
factual_qa_4029,factual_qa,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false
factual_qa_4029,factual_qa,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false
factual_qa_6353,factual_qa,context_injection,5,5,0.132835,0.154629,-0.021794,-0.164070,false
factual_qa_6353,factual_qa,formatting_changes,5,5,0.132835,0.175446,-0.042611,-0.320785,false
factual_qa_6353,factual_qa,paraphrasing,5,5,0.132835,0.042880,0.089954,0.677190,true
factual_qa_6353,factual_qa,reordering,5,5,0.132835,0.103889,0.028946,0.217911,true
factual_qa_6353,factual_qa,surface_noise,5,5,0.132835,0.139997,-0.007162,-0.053920,false
factual_qa_6460,factual_qa,context_injection,5,5,0.685715,0.714286,-0.028571,-0.041667,false
factual_qa_6460,factual_qa,formatting_changes,5,5,0.685715,0.704762,-0.019048,-0.027778,false
factual_qa_6460,factual_qa,paraphrasing,5,5,0.685715,0.337255,0.348460,0.508171,true
factual_qa_6460,factual_qa,reordering,5,5,0.685715,0.714286,-0.028571,-0.041667,false
factual_qa_6460,factual_qa,surface_noise,5,5,0.685715,0.695238,-0.009524,-0.013889,false
factual_qa_7525,factual_qa,context_injection,5,5,0.800000,1.000000,-0.200000,-0.250000,false
factual_qa_7525,factual_qa,formatting_changes,5,5,0.800000,0.000000,0.800000,1.000000,true
factual_qa_7525,factual_qa,paraphrasing,5,5,0.800000,0.200000,0.600000,0.750000,true
factual_qa_7525,factual_qa,reordering,5,5,0.800000,1.000000,-0.200000,-0.250000,false
factual_qa_7525,factual_qa,surface_noise,5,5,0.800000,0.800000,0.000000,0.000000,false
factual_qa_800,factual_qa,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false
factual_qa_800,factual_qa,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false
factual_qa_800,factual_qa,paraphrasing,5,5,1.000000,0.800000,0.200000,0.200000,true
factual_qa_800,factual_qa,reordering,5,5,1.000000,0.000000,1.000000,1.000000,true
factual_qa_800,factual_qa,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false
factual_qa_8164,factual_qa,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false
factual_qa_8164,factual_qa,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false
factual_qa_8164,factual_qa,paraphrasing,5,5,1.000000,0.071947,0.928053,0.928053,true
factual_qa_8164,factual_qa,reordering,5,5,1.000000,0.823529,0.176471,0.176471,true
factual_qa_8164,factual_qa,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false
factual_qa_8650,factual_qa,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false
factual_qa_8650,factual_qa,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false
factual_qa_8650,factual_qa,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false
factual_qa_8650,factual_qa,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false
factual_qa_8650,factual_qa,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false
math_reasoning_10926,math_reasoning,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false
math_reasoning_10926,math_reasoning,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false
math_reasoning_10926,math_reasoning,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false
math_reasoning_10926,math_reasoning,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false
math_reasoning_10926,math_reasoning,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false
math_reasoning_11297,math_reasoning,context_injection,5,5,0.200000,0.600000,-0.400000,-2.000000,false
math_reasoning_11297,math_reasoning,formatting_changes,5,5,0.200000,0.600000,-0.400000,-2.000000,false
math_reasoning_11297,math_reasoning,paraphrasing,5,5,0.200000,0.000000,0.200000,1.000000,true
math_reasoning_11297,math_reasoning,reordering,5,5,0.200000,0.400000,-0.200000,-1.000000,false
math_reasoning_11297,math_reasoning,surface_noise,5,5,0.200000,0.200000,0.000000,0.000000,false
math_reasoning_11759,math_reasoning,context_injection,5,5,0.800000,0.800000,0.000000,0.000000,false
math_reasoning_11759,math_reasoning,formatting_changes,5,5,0.800000,0.200000,0.600000,0.750000,true
math_reasoning_11759,math_reasoning,paraphrasing,5,5,0.800000,0.600000,0.200000,0.250000,true
math_reasoning_11759,math_reasoning,reordering,5,5,0.800000,0.400000,0.400000,0.500000,true
math_reasoning_11759,math_reasoning,surface_noise,5,5,0.800000,0.600000,0.200000,0.250000,true
math_reasoning_2873,math_reasoning,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false
math_reasoning_2873,math_reasoning,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false
math_reasoning_2873,math_reasoning,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false
math_reasoning_2873,math_reasoning,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false
math_reasoning_2873,math_reasoning,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false
math_reasoning_3886,math_reasoning,context_injection,5,5,0.000000,0.000000,0.000000,,false
math_reasoning_3886,math_reasoning,formatting_changes,5,5,0.000000,0.000000,0.000000,,false
math_reasoning_3886,math_reasoning,paraphrasing,5,5,0.000000,0.000000,0.000000,,false
math_reasoning_3886,math_reasoning,reordering,5,5,0.000000,0.000000,0.000000,,false
math_reasoning_3886,math_reasoning,surface_noise,5,5,0.000000,0.000000,0.000000,,false
math_reasoning_4807,math_reasoning,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false
math_reasoning_4807,math_reasoning,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false
math_reasoning_4807,math_reasoning,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false
math_reasoning_4807,math_reasoning,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false
math_reasoning_4807,math_reasoning,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false
math_reasoning_4896,math_reasoning,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false
