task_type,n,noise_corrected_drift_mean,noise_corrected_drift_sd,noise_corrected_drift_ci95_low,noise_corrected_drift_ci95_high,absolute_performance_change_mean,absolute_performance_change_sd,absolute_performance_change_ci95_low,absolute_performance_change_ci95_high,pdr_mean,pdr_sd,pdr_ci95_low,pdr_ci95_high
code_generation,50,0.0101722,0.02705821920773571,0.0024823391858473523,0.017862060814152647,0.08800000000000001,0.25285310731242966,0.016139941999483196,0.15986005800051684,0.13,0.33212365535893346,0.03561150151124361,0.22438849848875642
factual_qa,50,0.03377893999999999,0.07300805604650902,0.013030280045726123,0.054527599954273864,0.09495088000000002,0.2724387040248885,0.017524657000794863,0.17237710299920517,0.10853922,0.31535073549195664,0.018917532594920294,0.19816090740507972
math_reasoning,50,-0.00029641999999999944,0.02203397139492209,-0.006558405384519719,0.00596556538451972,0.06,0.22946254863155738,-0.0052125347751245665,0.12521253477512456,0.0033333333333333375,0.5371854259175144,-0.1580550352600694,0.16472170192673605
