perturbation_type,n,noise_corrected_drift_mean,noise_corrected_drift_sd,noise_corrected_drift_ci95_low,noise_corrected_drift_ci95_high,absolute_performance_change_mean,absolute_performance_change_sd,absolute_performance_change_ci95_low,absolute_performance_change_ci95_high,pdr_mean,pdr_sd,pdr_ci95_low,pdr_ci95_high
context_injection,30,-0.001012233333333333,0.0192039859721762,-0.008183119545560393,0.0061586528788937275,0.01832116666666667,0.18487846203759123,-0.05071358561256932,0.08735591894590265,-0.022611620689655172,0.4518346658534367,-0.1944803358715284,0.14925709449221808
formatting_changes,30,0.010170266666666667,0.041659878859834576,-0.005385787756194601,0.025726321089527937,0.05127803333333334,0.21036056259382824,-0.027271891671088545,0.12982795833775523,0.020739206896551725,0.4889384020190638,-0.1652430147184513,0.20672142851155476
paraphrasing,30,0.05098966666666667,0.07678783630431875,0.02231661736225763,0.07966271597107571,0.2566469333333333,0.39107568551914756,0.1106168724236028,0.40267699424306386,0.3257363793103448,0.42705726892014084,0.16329248187332818,0.4881802767473615
reordering,30,0.016124899999999998,0.04237165209344081,0.00030306508373000723,0.03194673491626999,0.059228199999999995,0.21070953994906072,-0.019452035290455333,0.13790843529045532,0.05181775862068965,0.3073501977447893,-0.06509200415175395,0.16872752139313327
surface_noise,30,-0.003514733333333333,0.0182728261255913,-0.01033791874454286,0.003308452077876194,0.0194438,0.08068674207781004,-0.010685124646872268,0.04957272464687227,0.04076520689655173,0.1906200418572767,-0.03174277922718687,0.11327319302029032
